# p33 sites — machine-readable ledger (tools/string_sites.py --p33-tsv); consumed by lower.py --strings-sites33
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=ba30a84139a7d2f489cdb6345eddde4dfdf6c77d6d75f2eaa14ab3df58a829d0
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# strhooks sha256=f4251e4c8a7c12005093bcf11d4009e1bb62eb3134e05efe00810553ca985476
# arena sha256=bb779f499772125fd7bc4b952582f19d228c8fb4702a5444736edbd72dcf01ed
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir	form	slice	chain
7016EE08	WCMV	7016ED93	LIST_PLAYERS	COPY-STR-EXACT	?	EMIT			7016EE07	[@bp(s@7016ED93.4, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 17)] = [@bp(s@7016ED93.3, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 17)]	expr	7	s@7016ED93.4 s@7016ED93.3
7016EE0E	WCMV	7016ED93	LIST_PLAYERS	CONCAT-PIECE	?	EMIT			7016EE09 7016EE0B 7016EE0D	[@ac2, 2] = [@0x7016EA5F:0, "| "]	mixed	7	s@7016ED93.4
7016EE2A	WCMV	7016EE21	LIST_PLAYERS	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@7016ED93.5, 2), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 19)] = [@bp(s@7016ED93.4, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 19)]	expr	7	s@7016ED93.5 s@7016ED93.4
70172E29	WADI	70172DDE	OBSERVE	CLAIM-BASE	-	EMIT			70172E28	ac1 = s@70172DDE.1	stmt	7	s@70172DDE.1
70172E30	WMSP	70172DDE	OBSERVE	CLAIM	-	EMIT				claim s@70172DDE.1, ac2	stmt	7	s@70172DDE.1
70172E5F	STASP	70172E55	OBSERVE	RELEASE	-	EMIT				release s@70172DDE, ac0	stmt	7	s@70172DDE.1
70172E3A	WCMV	70172DDE	OBSERVE	COPY-STR-EXACT	?	EMIT			70172E37 70172E39	[@bp(s@70172DDE.1, 0), M32[wp(ac3, 132)]] = [@bp(ac3, 0x43C), M32[wp(ac3, 132)]]	expr	7	s@70172DDE.1
70172E41	WCMV	70172DDE	OBSERVE	CONCAT-PIECE	?	EMIT			70172E3C 70172E3E 70172E40	[@ac2, sx16(M16[wp(ac3, 134)])] = [@wp(ac3, 134), varying]	mixed	7	s@70172DDE.1
70172E4E	WCMV	70172E4E	OBSERVE	ASSIGN-STR-MIN	a	EMIT				[@ac2, ac0] = [@bp(s@70172DDE.1, 0), 150]	mixed	7	s@70172DDE.1
70172EFA	WADI	70172EB0	OBSERVE	CLAIM-BASE	-	EMIT			70172EF9	ac1 = s@70172EB0.1	stmt	7	s@70172EB0.1
70172F01	WMSP	70172EB0	OBSERVE	CLAIM	-	EMIT				claim s@70172EB0.1, ac2	stmt	7	s@70172EB0.1
70172F30	STASP	70172F26	OBSERVE	RELEASE	-	EMIT				release s@70172EB0, ac0	stmt	7	s@70172EB0.1
70172F0B	WCMV	70172EB0	OBSERVE	COPY-STR-EXACT	?	EMIT			70172F08 70172F0A	[@bp(s@70172EB0.1, 0), M32[wp(ac3, 154)]] = [@bp(ac3, 0x43C), M32[wp(ac3, 154)]]	expr	7	s@70172EB0.1
70172F12	WCMV	70172EB0	OBSERVE	CONCAT-PIECE	?	EMIT			70172F0D 70172F0F 70172F11	[@ac2, sx16(M16[wp(ac3, 134)])] = [@wp(ac3, 134), varying]	mixed	7	s@70172EB0.1
70172F1F	WCMV	70172F1F	OBSERVE	ASSIGN-STR-MIN+CALLRESULT	a	EMIT				[@ac2, ac0] = [@bp(s@70172EB0.1, 0), 150]	mixed	7	s@70172EB0.1
701756A3	WADI	70175694	OP_EDIT	CLAIM-BASE	-	EMIT			701756A2	ac2 = s@70175694.1	stmt	7	s@70175694.1
701756BC	WADI	70175694	OP_EDIT	CLAIM-BASE	-	EMIT			701756BB	ac1 = s@70175694.2	stmt	7	s@70175694.2
701756D6	WADI	70175694	OP_EDIT	CLAIM-BASE	-	EMIT			701756D5	ac1 = s@70175694.3	stmt	7	s@70175694.3
701756F1	WADI	70175694	OP_EDIT	CLAIM-BASE	-	EMIT			701756F0	ac1 = s@70175694.4	stmt	7	s@70175694.4
7017570B	WADI	70175694	OP_EDIT	CLAIM-BASE	-	EMIT			7017570A	ac1 = s@70175694.5	stmt	7	s@70175694.5
701756A9	WMSP	70175694	OP_EDIT	CLAIM	-	EMIT				claim s@70175694.1, ac1	stmt	7	s@70175694.1
701756C3	WMSP	70175694	OP_EDIT	CLAIM	-	EMIT				claim s@70175694.2, ac2	stmt	7	s@70175694.2
701756DD	WMSP	70175694	OP_EDIT	CLAIM	-	EMIT				claim s@70175694.3, ac2	stmt	7	s@70175694.3
701756F8	WMSP	70175694	OP_EDIT	CLAIM	-	EMIT				claim s@70175694.4, ac2	stmt	7	s@70175694.4
70175713	WMSP	70175694	OP_EDIT	CLAIM	-	EMIT				claim s@70175694.5, ac2	stmt	7	s@70175694.5
70175743	STASP	70175740	OP_EDIT	RELEASE	-	EMIT				release s@70175694, ac0	stmt	7	s@70175694.1
701756BA	WCMV	70175694	OP_EDIT	COPY-STR-EXACT	?	EMIT			701756B3 701756B5 701756B7 701756B9	[@bp(s@70175694.1, 1), sx16(M16[M32[wp(ac3, -12)]])] = [@M32[wp(ac3, -12)], varying]	expr	7	s@70175694.1
701756CE	WCMV	70175694	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@70175694.2, 0), ac0] = [@bp(s@70175694.1, 0), ac1]	mixed	7	s@70175694.2 s@70175694.1
701756D4	WCMV	70175694	OP_EDIT	CONCAT-PIECE	?	EMIT			701756CF 701756D1 701756D3	[@ac2, 2] = [@0x701735CD:0, " ["]	mixed	7	s@70175694.2
701756E8	WCMV	70175694	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@70175694.3, 0), ac0] = [@bp(s@70175694.2, 0), ac1]	mixed	7	s@70175694.3 s@70175694.2
701756EF	WCMV	70175694	OP_EDIT	CONCAT-PIECE	?	EMIT			701756EA 701756EC 701756EE	[@ac2, sx16(M16[wp(ac3, 12)])] = [@wp(ac3, 12), varying]	mixed	7	s@70175694.3
70175703	WCMV	70175694	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@70175694.4, 0), ac0] = [@bp(s@70175694.3, 0), ac1]	mixed	7	s@70175694.4 s@70175694.3
70175709	WCMV	70175694	OP_EDIT	CONCAT-PIECE	?	EMIT			70175704 70175706 70175708	[@ac2, 4] = [@0x701735CB:0, "] : "]	mixed	7	s@70175694.4
70175725	WCMV	7017571C	OP_EDIT	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@70175694.5, 2), ac0] = [@bp(s@70175694.4, 0), ac1]	mixed	7	s@70175694.5 s@70175694.4
701757CC	WADI	701757C5	OP_EDIT	CLAIM-BASE	-	EMIT			701757CB	ac2 = s@701757C5.1	stmt	7	s@701757C5.1
701757E5	WADI	701757C5	OP_EDIT	CLAIM-BASE	-	EMIT			701757E4	ac1 = s@701757C5.2	stmt	7	s@701757C5.2
701757FF	WADI	701757C5	OP_EDIT	CLAIM-BASE	-	EMIT			701757FE	ac1 = s@701757C5.3	stmt	7	s@701757C5.3
7017581A	WADI	701757C5	OP_EDIT	CLAIM-BASE	-	EMIT			70175819	ac1 = s@701757C5.4	stmt	7	s@701757C5.4
70175834	WADI	701757C5	OP_EDIT	CLAIM-BASE	-	EMIT			70175833	ac1 = s@701757C5.5	stmt	7	s@701757C5.5
701757D2	WMSP	701757C5	OP_EDIT	CLAIM	-	EMIT				claim s@701757C5.1, ac1	stmt	7	s@701757C5.1
701757EC	WMSP	701757C5	OP_EDIT	CLAIM	-	EMIT				claim s@701757C5.2, ac2	stmt	7	s@701757C5.2
70175806	WMSP	701757C5	OP_EDIT	CLAIM	-	EMIT				claim s@701757C5.3, ac2	stmt	7	s@701757C5.3
70175821	WMSP	701757C5	OP_EDIT	CLAIM	-	EMIT				claim s@701757C5.4, ac2	stmt	7	s@701757C5.4
7017583C	WMSP	701757C5	OP_EDIT	CLAIM	-	EMIT				claim s@701757C5.5, ac2	stmt	7	s@701757C5.5
7017586C	STASP	70175869	OP_EDIT	RELEASE	-	EMIT				release s@701757C5, ac0	stmt	7	s@701757C5.1
701757E3	WCMV	701757C5	OP_EDIT	COPY-STR-EXACT	?	EMIT			701757DC 701757DE 701757E0 701757E2	[@bp(s@701757C5.1, 1), sx16(M16[M32[wp(ac3, -12)]])] = [@M32[wp(ac3, -12)], varying]	expr	7	s@701757C5.1
701757F7	WCMV	701757C5	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@701757C5.2, 0), ac0] = [@bp(s@701757C5.1, 0), ac1]	mixed	7	s@701757C5.2 s@701757C5.1
701757FD	WCMV	701757C5	OP_EDIT	CONCAT-PIECE	?	EMIT			701757F8 701757FA 701757FC	[@ac2, 2] = [@0x701735CD:0, " ["]	mixed	7	s@701757C5.2
70175811	WCMV	701757C5	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@701757C5.3, 0), ac0] = [@bp(s@701757C5.2, 0), ac1]	mixed	7	s@701757C5.3 s@701757C5.2
70175818	WCMV	701757C5	OP_EDIT	CONCAT-PIECE	?	EMIT			70175813 70175815 70175817	[@ac2, sx16(M16[wp(ac3, 14)])] = [@wp(ac3, 14), varying]	mixed	7	s@701757C5.3
7017582C	WCMV	701757C5	OP_EDIT	COPY-STR-EXACT+CALLRESULT	?	EMIT				[@bp(s@701757C5.4, 0), ac0] = [@bp(s@701757C5.3, 0), ac1]	mixed	7	s@701757C5.4 s@701757C5.3
70175832	WCMV	701757C5	OP_EDIT	CONCAT-PIECE	?	EMIT			7017582D 7017582F 70175831	[@ac2, 4] = [@0x701735CB:0, "] : "]	mixed	7	s@701757C5.4
7017584E	WCMV	70175845	OP_EDIT	ASSIGN-STR-VARYING+CALLRESULT	?	EMIT				[@bp(s@701757C5.5, 2), ac0] = [@bp(s@701757C5.4, 0), ac1]	mixed	7	s@701757C5.5 s@701757C5.4
701758AF	WADI	701758A0	OP_EDIT	CLAIM-BASE	-	EMIT			701758AE	ac2 = s@701758A0.1	stmt	7	s@701758A0.1
701758C8	WADI	701758A0	OP_EDIT	CLAIM-BASE	-	EMIT			701758C7	ac1 = s@701758A0.2	stmt	7	s@701758A0.2
701758E2	WADI	701758A0	OP_EDIT	CLAIM-BASE	-	EMIT			701758E1	ac1 = s@701758A0.3	stmt	7	s@701758A0.3
701758FF	WADI	701758A0	OP_EDIT	CLAIM-BASE	-	EMIT			701758FE	ac1 = s@701758A0.4	stmt	7	s@701758A0.4
70175919	WADI	701758A0	OP_EDIT	CLAIM-BASE	-	EMIT			70175918	ac1 = s@701758A0.5	stmt	7	s@701758A0.5
701758B5	WMSP	701758A0	OP_EDIT	CLAIM	-	EMIT				claim s@701758A0.1, ac1	stmt	7	s@701758A0.1
701758CF	WMSP	701758A0	OP_EDIT	CLAIM	-	EMIT				claim s@701758A0.2, ac2	stmt	7	s@701758A0.2
701758E9	WMSP	701758A0	OP_EDIT	CLAIM	-	EMIT				claim s@701758A0.3, ac2	stmt	7	s@701758A0.3
70175906	WMSP	701758A0	OP_EDIT	CLAIM	-	EMIT				claim s@701758A0.4, ac2	stmt	7	s@701758A0.4
70175921	WMSP	701758A0	OP_EDIT	CLAIM	-	EMIT				claim s@701758A0.5, ac2	stmt	7	s@701758A0.5
70175951	STASP	7017594E	OP_EDIT	RELEASE	-	EMIT				release s@701758A0, ac0	stmt	7	s@701758A0.1
701758C6	WCMV	701758A0	OP_EDIT	COPY-STR-EXACT	?	EMIT			701758BF 701758C1 701758C3 701758C5	[@bp(s@701758A0.1, 1), sx16(M16[M32[wp(ac3, -12)]])] = [@M32[wp(ac3, -12)], varying]	expr	7	s@701758A0.1
701758DA	WCMV	701758A0	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@701758A0.2, 0), ac0] = [@bp(s@701758A0.1, 0), ac1]	mixed	7	s@701758A0.2 s@701758A0.1
701758E0	WCMV	701758A0	OP_EDIT	CONCAT-PIECE	?	EMIT			701758DB 701758DD 701758DF	[@ac2, 2] = [@0x701735CD:0, " ["]	mixed	7	s@701758A0.2
701758F4	WCMV	701758A0	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@701758A0.3, 0), ac0] = [@bp(s@701758A0.2, 0), ac1]	mixed	7	s@701758A0.3 s@701758A0.2
701758FD	WCMV	701758A0	OP_EDIT	CONCAT-PIECE	?	EMIT			701758F6 701758F8 701758FA 701758FC	[@ac2, sx16(M16[M32[wp(ac3, -14)]])] = [@M32[wp(ac3, -14)], varying]	mixed	7	s@701758A0.3
70175911	WCMV	701758A0	OP_EDIT	COPY-STR-EXACT	?	EMIT				[@bp(s@701758A0.4, 0), ac0] = [@bp(s@701758A0.3, 0), ac1]	mixed	7	s@701758A0.4 s@701758A0.3
70175917	WCMV	701758A0	OP_EDIT	CONCAT-PIECE	?	EMIT			70175912 70175914 70175916	[@ac2, 4] = [@0x701735CB:0, "] : "]	mixed	7	s@701758A0.4
70175933	WCMV	7017592A	OP_EDIT	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@701758A0.5, 2), ac0] = [@bp(s@701758A0.4, 0), ac1]	mixed	7	s@701758A0.5 s@701758A0.4
7017A142	WADI	7017A116	STORE	CLAIM-BASE	-	EMIT			7017A141	ac1 = s@7017A116.1	stmt	7	s@7017A116.1
7017A15D	WADI	7017A116	STORE	CLAIM-BASE	-	EMIT			7017A15C	ac1 = s@7017A116.2	stmt	7	s@7017A116.2
7017A178	WADI	7017A116	STORE	CLAIM-BASE	-	EMIT			7017A177	ac1 = s@7017A116.3	stmt	7	s@7017A116.3
7017A193	WADI	7017A116	STORE	CLAIM-BASE	-	EMIT			7017A192	ac1 = s@7017A116.4	stmt	7	s@7017A116.4
7017A1AA	WADI	7017A116	STORE	CLAIM-BASE	-	EMIT			7017A1A9	ac2 = s@7017A116.5	stmt	7	s@7017A116.5
7017A149	WMSP	7017A116	STORE	CLAIM	-	EMIT				claim s@7017A116.1, ac2	stmt	7	s@7017A116.1
7017A164	WMSP	7017A116	STORE	CLAIM	-	EMIT				claim s@7017A116.2, ac2	stmt	7	s@7017A116.2
7017A17F	WMSP	7017A116	STORE	CLAIM	-	EMIT				claim s@7017A116.3, ac2	stmt	7	s@7017A116.3
7017A19A	WMSP	7017A116	STORE	CLAIM	-	EMIT				claim s@7017A116.4, ac2	stmt	7	s@7017A116.4
7017A1B2	WMSP	7017A116	STORE	CLAIM	-	EMIT				claim s@7017A116.5, ac3	stmt	7	s@7017A116.5
7017A1D1	STASP	7017A1CE	STORE	RELEASE	-	EMIT				release s@7017A116, ac1	stmt	7	s@7017A116.1
7017A153	WCMV	7017A116	STORE	COPY-STR-EXACT	?	EMIT			7017A150 7017A152	[@bp(s@7017A116.1, 0), M32[wp(ac3, 60)]] = [@bp(ac3, 0x2D8), M32[wp(ac3, 60)]]	expr	7	s@7017A116.1
7017A15B	WCMV	7017A116	STORE	CONCAT-PIECE	?	EMIT			7017A155 7017A157 7017A15A	[@ac2, M32[wp(ac3, 62)]] = [@0x7015155A:0, M32[wp(ac3, 62)]]	mixed	7	s@7017A116.1
7017A16F	WCMV	7017A116	STORE	COPY-STR-EXACT	?	EMIT				[@bp(s@7017A116.2, 0), ac0] = [@bp(s@7017A116.1, 0), ac1]	mixed	7	s@7017A116.2 s@7017A116.1
7017A176	WCMV	7017A116	STORE	CONCAT-PIECE	?	EMIT			7017A171 7017A173 7017A175	[@ac2, sx16(M16[wp(ac3, 22)])] = [@wp(ac3, 22), varying]	mixed	7	s@7017A116.2
7017A18A	WCMV	7017A116	STORE	COPY-STR-EXACT	?	EMIT				[@bp(s@7017A116.3, 0), ac0] = [@bp(s@7017A116.2, 0), ac1]	mixed	7	s@7017A116.3 s@7017A116.2
7017A191	WCMV	7017A116	STORE	CONCAT-PIECE	?	EMIT			7017A18C 7017A18E 7017A190	[@ac2, sx16(M16[wp(ac3, 116)])] = [@wp(ac3, 116), varying]	mixed	7	s@7017A116.3
7017A1A5	WCMV	7017A116	STORE	COPY-STR-EXACT	?	EMIT				[@bp(s@7017A116.4, 0), ac0] = [@bp(s@7017A116.3, 0), ac1]	mixed	7	s@7017A116.4 s@7017A116.3
7017A1C3	WCMV	7017A1BA	STORE	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@7017A116.5, 2), ac0] = [@bp(s@7017A116.4, 0), ac1]	mixed	7	s@7017A116.5 s@7017A116.4
